16.72,17.12,18.18,20.79,24.39,28.16,33.27,39.21,45.51,52.92,60.70,69.66,77.36,85.16,95.25,106.18,114.71,123.02,132.97,143.48,153.13,156.31,168.17,175.63,181.58,189.50,194.90,196.62,200.29,205.04,209.92,202.88,206.88,206.93,204.06,203.20,198.52,192.10,186.78,182.46,176.47,168.98,162.47,150.94,142.11,132.97,124.22,114.71,105.17,94.79,85.99,77.36,69.00,60.41,51.90,44.86,39.21,32.95,28.16,24.04,20.89,18.54,17.12,16.72
16.88,16.79,18.63,20.89,24.15,28.56,33.27,38.46,45.51,53.42,58.96,69.00,78.11,86.41,97.09,105.68,113.60,123.62,135.54,144.85,153.86,158.62,168.17,176.47,179.83,186.78,195.83,201.39,203.20,200.11,206.93,208.88,207.88,209.92,203.07,199.31,199.48,195.83,190.40,177.20,175.63,169.79,159.39,152.40,142.11,132.33,124.81,115.81,106.18,95.25,86.41,76.25,68.01,61.28,52.92,45.08,38.84,33.43,28.29,24.27,20.59,18.54,17.44,16.56
16.64,16.95,18.72,20.49,24.39,28.56,33.91,39.59,46.39,52.16,60.70,67.68,78.11,87.24,95.71,107.19,113.60,124.22,134.25,142.11,151.67,160.93,169.79,173.94,184.21,185.87,193.96,201.39,201.26,203.07,207.93,209.88,210.88,213.90,203.07,203.20,198.52,191.17,189.50,185.09,177.32,168.98,155.54,152.40,141.42,133.61,127.20,114.71,103.15,95.71,87.65,78.11,67.68,60.41,53.68,45.51,39.02,33.91,28.16,24.04,20.99,18.80,16.87,16.48
16.64,17.20,18.63,20.99,24.15,28.29,33.27,39.21,45.51,52.66,60.70,68.67,77.36,86.41,96.17,105.17,114.71,124.22,133.61,142.79,151.67,160.16,168.17,175.63,183.34,189.50,193.96,199.48,202.23,205.04,206.93,208.88,207.88,206.93,206.03,202.23,198.52,193.03,188.59,183.34,175.63,168.17,160.93,151.67,143.48,134.25,124.22,114.71,105.68,96.17,86.41,77.36,68.67,60.41,52.92,45.51,39.02,33.27,28.29,24.15,20.89,18.45,17.20,16.64
17.52,17.69,17.47,21.90,26.13,29.79,34.70,40.34,46.17,52.92,60.99,68.34,78.48,86.82,96.63,106.18,113.60,125.41,133.61,142.79,151.67,159.39,168.98,176.47,183.34,188.59,193.96,200.43,199.31,206.03,208.92,206.88,208.88,208.92,202.08,205.15,200.43,190.23,189.50,178.95,174.79,171.41,161.70,153.13,144.17,129.11,123.02,115.81,104.16,94.79,85.99,77.74,69.00,60.70,52.66,44.42,38.65,33.75,28.16,23.69,20.79,18.63,17.20,16.96
16.72,17.12,18.63,20.99,24.15,28.29,33.43,39.21,45.51,52.92,60.41,69.00,77.74,86.82,95.71,105.68,115.26,124.22,134.25,142.79,152.40,160.93,168.98,175.63,182.46,188.59,193.96,199.48,202.23,205.04,207.93,208.88,208.88,206.93,206.03,202.23,199.48,194.90,189.50,183.34,176.47,168.98,160.93,152.40,142.79,133.61,124.81,115.26,105.17,96.17,86.41,77.74,69.00,60.70,52.92,45.73,39.21,33.27,28.43,24.15,20.99,18.54,17.12,16.72
16.56,17.36,18.80,20.59,24.04,27.61,33.75,39.02,44.64,52.92,63.31,70.32,78.48,88.48,97.55,107.19,115.26,126.01,133.61,144.85,152.40,160.93,169.79,177.32,184.21,192.22,196.76,197.57,204.17,204.06,201.96,208.88,211.88,208.92,206.03,199.31,199.48,194.90,190.40,185.09,173.94,166.56,162.47,154.59,144.17,131.68,125.41,115.26,105.17,97.09,85.16,76.25,69.33,60.99,52.92,45.73,39.59,32.95,28.16,24.39,20.89,18.63,17.12,16.72
17.04,17.44,18.63,19.79,24.15,27.75,33.59,39.59,45.95,53.42,60.99,69.33,78.48,87.24,96.17,106.18,114.15,123.62,134.25,143.48,153.13,163.24,172.22,173.10,182.46,188.59,191.17,199.48,203.20,205.04,208.92,209.88,209.88,202.95,204.06,205.15,197.57,193.03,189.50,182.46,176.47,168.17,162.47,148.03,141.42,134.90,123.62,113.60,105.17,96.17,86.82,78.85,70.32,59.54,52.66,45.51,38.46,33.43,28.43,24.15,20.89,18.63,16.79,16.72
17.04,17.20,18.89,21.09,24.50,28.97,34.07,39.59,45.51,53.17,59.54,68.01,77.74,86.82,96.17,106.69,114.15,125.41,136.18,142.11,150.94,160.93,168.98,176.47,185.09,185.87,194.90,196.62,201.26,209.97,207.93,205.88,208.88,208.92,207.01,199.31,199.48,195.83,188.59,185.09,175.63,166.56,160.93,153.86,144.17,131.68,124.22,116.91,105.17,95.71,86.41,76.25,68.67,61.28,53.17,43.98,39.21,33.11,28.02,24.50,20.89,18.27,17.12,16.72
16.56,17.20,18.27,20.79,24.04,28.29,33.43,39.02,45.51,51.90,60.41,68.01,76.99,86.41,95.71,105.17,115.26,122.43,132.97,143.48,150.21,158.62,167.36,174.79,181.58,189.50,194.90,199.48,199.31,203.07,207.93,205.88,205.88,207.93,205.04,202.23,193.75,193.03,188.59,180.70,176.47,167.36,157.85,150.94,142.79,134.25,122.43,114.15,106.18,95.25,85.58,76.99,68.34,60.12,52.66,45.73,38.09,33.11,28.56,24.04,20.89,18.54,17.03,16.56
16.32,17.20,18.89,21.39,24.50,28.70,33.11,39.21,45.29,53.17,60.99,68.67,78.11,84.74,96.17,105.17,114.15,124.22,133.61,144.17,153.13,162.47,166.56,176.47,180.70,186.78,194.90,199.48,202.23,205.04,202.95,208.88,209.88,205.94,204.06,201.26,197.57,193.96,190.40,185.09,176.47,166.56,160.93,150.21,139.36,133.61,124.81,114.15,105.17,96.63,87.24,75.88,68.34,60.41,51.90,45.29,39.21,33.27,28.29,24.39,21.19,18.27,17.12,16.48
16.64,17.28,18.45,20.49,24.15,28.02,33.43,39.40,45.73,52.66,58.67,68.34,75.88,85.16,94.79,105.17,115.26,121.83,134.25,142.79,150.94,158.62,167.36,175.63,183.34,189.50,189.30,199.48,203.20,204.06,206.93,206.88,205.88,205.94,207.01,195.42,198.52,193.03,187.68,185.09,173.10,164.13,160.93,153.13,143.48,136.18,121.83,113.60,104.66,94.32,87.24,76.99,68.01,60.41,51.65,45.51,38.46,32.95,28.56,23.92,20.59,18.54,17.20,16.72
16.48,16.13,18.00,20.39,24.04,28.02,33.91,39.78,46.17,52.92,60.12,67.68,77.74,86.82,95.71,105.68,115.81,125.41,133.61,144.85,153.13,161.70,169.79,175.63,182.46,190.40,195.83,197.57,203.20,206.03,205.94,208.88,206.88,205.94,207.01,203.20,196.62,193.96,186.78,181.58,177.32,165.75,159.39,152.40,142.11,134.25,123.62,114.15,106.18,95.25,85.99,76.99,68.34,60.70,52.92,45.51,38.46,33.11,28.43,24.04,20.99,18.45,17.03,16.64
16.00,13.08,16.22,18.28,24.85,28.84,33.43,41.09,48.58,55.96,63.60,72.63,80.34,89.73,99.39,107.19,118.01,126.01,137.46,144.85,153.13,162.47,170.60,178.16,178.95,187.68,193.96,198.52,205.15,206.03,206.93,208.88,209.88,207.93,208.98,199.31,197.57,194.90,186.78,182.46,177.32,168.17,160.93,148.76,142.11,133.61,123.62,115.81,104.66,94.79,86.82,77.36,69.33,59.54,52.66,45.29,38.84,33.59,28.02,23.92,20.89,18.63,17.12,16.80
15.60,17.03,17.20,22.40,23.92,28.16,32.63,39.40,45.29,53.68,61.28,70.32,79.60,87.24,96.63,106.69,118.01,127.80,132.97,144.85,149.48,160.93,169.79,173.10,183.34,188.59,195.83,202.34,203.20,200.11,206.93,208.88,206.88,206.93,205.04,203.20,199.48,196.76,188.59,178.07,174.79,169.79,159.39,150.21,142.79,134.25,123.62,115.81,102.64,96.17,88.07,77.74,69.00,60.41,51.90,45.08,39.40,33.43,28.43,23.69,20.99,18.89,17.20,16.72
17.76,17.77,17.38,20.59,23.46,28.16,33.43,38.84,45.08,51.65,60.70,69.00,77.74,88.07,93.86,106.18,113.60,123.02,136.82,144.85,153.13,162.47,168.98,173.94,184.21,185.87,190.23,201.39,204.17,205.04,209.92,201.88,207.88,209.92,204.06,206.12,195.66,191.17,193.12,185.97,176.47,164.94,160.93,151.67,141.42,136.18,121.23,113.05,107.19,97.09,86.41,78.48,69.33,60.12,53.68,45.29,38.46,33.43,28.43,24.27,20.99,18.63,17.44,17.04
