15.92,16.70,18.27,20.69,23.92,28.16,33.11,39.02,45.51,52.41,60.12,68.34,76.62,85.58,94.79,104.16,113.60,124.22,133.61,142.11,151.67,158.62,166.56,174.79,181.58,186.78,192.10,196.62,200.29,204.06,205.94,206.88,206.88,204.94,203.07,200.29,197.57,193.03,187.68,180.70,173.10,165.75,158.62,149.48,141.42,132.33,124.22,113.05,104.66,94.32,85.58,76.25,68.01,60.12,52.41,45.73,38.46,33.27,27.88,23.92,20.39,18.45,16.95,16.64
16.08,16.54,17.91,20.09,23.34,27.34,32.15,37.71,43.98,51.15,58.38,66.03,74.76,83.50,92.48,101.63,110.85,120.04,129.11,137.30,145.84,154.77,162.51,169.72,175.44,182.24,186.50,190.89,194.45,197.16,198.97,199.89,199.89,198.97,197.16,194.45,190.89,186.50,182.24,176.32,169.72,161.70,154.00,145.84,137.30,129.11,119.44,110.29,101.12,92.02,83.08,74.76,66.03,58.09,50.64,43.76,37.52,31.99,27.20,23.34,20.09,17.82,16.46,16.00
16.72,17.12,18.63,20.99,24.15,28.16,33.27,39.02,45.73,52.41,59.83,68.01,76.25,85.16,94.79,104.16,113.60,124.22,134.25,144.17,153.86,161.70,172.22,178.16,185.09,190.40,195.83,200.43,203.20,207.01,208.92,209.88,209.88,207.93,206.03,204.17,199.48,194.90,189.50,182.46,176.47,169.79,161.70,153.13,142.79,133.61,124.22,114.71,105.68,97.09,87.24,77.36,68.67,60.12,52.66,45.51,39.40,33.75,28.70,24.04,21.09,18.45,17.03,16.40
16.08,16.54,17.91,20.09,23.34,27.34,32.15,37.90,43.98,51.15,58.38,66.36,75.13,83.50,92.48,101.63,110.85,120.04,129.11,137.99,146.57,154.77,162.51,169.72,177.20,183.15,188.37,191.84,195.42,198.14,200.96,201.88,200.89,199.97,198.14,196.40,192.80,188.37,183.15,177.20,170.56,163.32,155.54,147.30,138.67,129.11,120.04,111.40,101.63,92.94,83.50,75.13,66.69,58.67,51.15,44.20,37.90,32.15,27.61,23.46,20.19,18.00,16.62,16.16
16.16,17.03,18.27,20.89,23.46,28.16,33.11,39.40,45.95,51.65,60.12,67.02,76.99,84.74,94.79,105.17,115.81,120.04,132.33,140.05,150.21,155.54,167.36,173.10,183.34,189.50,186.50,199.48,197.37,205.04,200.96,206.88,203.88,207.93,206.03,194.45,197.57,189.30,186.78,178.07,174.79,166.56,160.16,152.40,143.48,131.68,124.81,112.50,104.66,92.48,85.99,76.25,69.00,60.12,51.90,44.86,38.46,32.63,28.02,23.69,20.79,18.36,17.20,16.64
16.32,17.20,18.27,21.09,23.80,28.29,32.95,39.02,45.51,52.66,58.38,68.34,75.50,86.41,94.32,104.66,114.15,124.22,133.61,142.79,150.94,160.16,164.94,174.79,178.95,186.78,193.03,196.62,201.26,204.06,207.93,202.88,209.88,204.94,205.04,200.29,193.75,193.03,188.59,182.46,175.63,169.79,158.62,149.48,142.11,131.68,124.22,113.05,103.65,95.25,85.99,77.74,67.35,60.12,51.65,45.73,38.46,32.79,28.02,23.92,20.89,18.45,17.12,16.24
16.72,17.12,18.45,20.79,24.04,28.29,33.27,39.02,45.51,52.66,60.70,68.67,77.36,86.41,95.71,105.17,114.15,124.22,133.61,142.79,152.40,160.93,168.98,177.32,183.34,189.50,194.90,199.48,202.23,206.03,207.93,208.88,208.88,206.93,205.04,201.26,197.57,194.90,189.50,183.34,175.63,167.36,160.16,150.94,142.11,133.61,124.22,115.26,105.17,95.71,86.82,76.99,68.01,60.12,52.66,45.73,39.02,33.27,28.29,24.04,20.69,18.45,17.03,16.56
16.48,17.03,18.63,20.69,24.15,27.61,33.11,38.65,45.51,53.17,59.54,68.67,76.25,86.82,94.32,105.17,114.15,123.62,134.25,142.11,150.21,159.39,166.56,174.79,178.95,187.68,192.10,199.48,203.20,202.08,206.93,204.88,208.88,203.95,205.04,200.29,198.52,193.96,190.40,180.70,176.47,167.36,160.16,150.21,140.73,132.33,123.62,114.15,106.18,94.79,86.82,77.36,68.34,60.12,51.40,45.29,38.65,33.27,28.43,23.46,21.09,18.36,17.12,16.48
16.64,17.20,18.36,20.49,23.57,27.75,32.95,39.02,45.51,52.92,61.28,70.65,79.22,87.65,95.25,103.15,113.05,122.43,132.97,143.48,153.13,158.62,165.75,171.41,180.70,184.96,193.03,199.48,203.20,206.03,209.92,210.88,211.88,210.91,208.98,204.17,200.43,195.83,191.31,185.09,179.01,171.41,162.47,152.40,144.17,134.25,124.22,115.81,106.69,97.09,85.99,78.48,69.00,60.70,52.92,45.95,39.59,33.75,28.70,24.27,20.99,18.54,17.20,16.72
16.80,17.03,18.54,20.79,23.92,28.29,33.11,38.65,45.73,53.17,60.41,69.00,78.48,87.65,96.63,106.18,114.71,123.62,132.97,140.73,150.94,160.93,169.79,176.47,184.21,189.50,195.83,200.43,203.20,207.01,207.93,209.88,208.88,207.93,206.03,203.20,200.43,194.90,190.40,183.34,176.47,169.79,160.93,152.40,143.48,134.25,124.81,115.81,105.68,96.63,87.24,77.74,68.67,60.70,52.92,45.95,39.40,33.75,28.29,24.27,20.89,18.54,17.12,16.72
